sponsorcode,sponsorname,locationcode,locationname,address1,address2,city,provinceshort,province,postalcode,lat,long
LAWT,LAWTONS,122,AMHERST,101-16 LAWRENCE ST,?,AMHERST,NS,Nova Scotia,B4H3G5,45.83277,-64.21357
NSLC,NOVA SCOTIA LIQUOR,2348,PICTOU,31 WEAVER ROAD,UNIT 3,PICTOU,NS,Nova Scotia,B0K1H0,45.67992,-62.72692
LCBO,LCBO,136,Minden,SOUTH WATER STREET,?,MINDEN,ON,Ontario,K0M2K0,44.930214,-78.720414
SHEL,SHELL CANADA,2018,St Jacques De Leeds,?,?,?,QC,Quebec,?,46.291909,-71.335202
UNIS,AUTO PLUS AUTO PART PLUS,8022,PARRY SOUND AUTOPART,74 PARRY SOUND DR,?,PARRY SOUND,ON,Ontario,P2A0B8,45.36891,-80.04538
GMCL,GENERAL MOTORS,F056,ELLIS CH B G,"HIGHWAY 303, CONWAY",P.O. BOX 1299,DIGBY,NS,Nova Scotia,B0V1A0,44.60305,-65.770224
GMCL,GENERAL MOTORS,C246,POWELL MOTORS,804 MAIN ST. E. & 7TH AVENUE,P.O. BOX 910,SWAN RIVER,MB,Manitoba,R0L1Z0,52.10606,-101.26587
GMCL,GENERAL MOTORS,G575,C GIGNAC AUTOMOBILES,"1070, BOUL. DUCHARME",?,LA TUQUE,QC,Quebec,G9X3C4,47.421003,-72.785028
DEMF,DAOUST & MICHEL FORGET,D090,ST-SAUVEUR D-90,224-D CH. DU LAC MILLETTE,?,ST-SAUVEUR-DES-MONTS,QC,Quebec,J0R1R3,45.89144,-74.1525
RN15,RO-NA HARDWARE,620,RONA 92 2ND STREET,92 2ND STREET,?,LAC DU BONNET,MB,Manitoba,R0E1A0,50.25723,-96.06098
LCBO,LCBO,28,Dunnville,222 BROAD STREET EAST,?,DUNNVILLE,ON,Ontario,N1A1G2,42.903413,-79.615087
2,BMO BANK OF MONTREAL,646,BMO BANK OF MONTREAL,9910 100TH AVE,?,HIGH LEVEL,AB,Alberta,T0H1Z0,58.518327,-117.131062
SBYA,SOBEYS INC,552,CLARENVILLE,69 MANITOBA DR,SUITE 101,CLARENVILLE,NL,Newfoundland & Labrador,A5A1K3,48.16323,-53.98129
SHEL,SHELL CANADA,1F86,Whitney ON,HWY 60,?,WHITNEY,ON,Ontario,K0J2M0,45.493406,-78.238752
19,FOUNTAIN TIRE,78,FOUNTAIN TIRE F078,202 - 1 ST NORTH,?,VULCAN,AB,Alberta,T0L2B0,50.40454,-113.26326
NSLL,NOVA SCOTIA LIQUOR,2590,WEST PUBNICO,16 ABBOTT HARBOUR ROAD,?,WEST PUBNICO,NS,Nova Scotia,B0W3S0,43.66138,-65.80059
2,BMO BANK OF MONTREAL,671,BMO BANK OF MONTREAL,422 10TH ST,?,WAINWRIGHT,AB,Alberta,T9W1P5,52.836057,-110.858449
2,BMO BANK OF MONTREAL,567,BMO BANK OF MONTREAL,61 FRONT ST,?,SIOUX LOOKOUT,ON,Ontario,P8T1B1,50.098087,-91.916484
PJCQ,JEAN COUTU,179,RAWDON,"3285, 1E AVENUE",?,RAWDON,QC,Quebec,J0K1S0,46.038722,-73.697963
NSLC,NOVA SCOTIA LIQUOR,2511,BERWICK,200 COMMERCIAL STREET,?,BERWICK,NS,Nova Scotia,B0P1E0,45.04375,-64.73542
SHEL,SHELL CANADA,1G63,St Flavien QC,?,?,?,QC,Quebec,?,46.527175,-71.615345
2,BMO BANK OF MONTREAL,509,BMO BANK OF MONTREAL,207 BROAD ST E,?,DUNNVILLE,ON,Ontario,N1A1G1,42.903683,-79.616778
PPDM,PHARMA PLUS DRUGMARTS,2220,SMITHS FALL DTWN,2 BECKWITH STREET NORTH,?,SMITHS FALLS,ON,Ontario,K7A2B1,44.89968,-76.02129
PJCQ,JEAN COUTU,128,TRACADIE-SHEILA,3500 RUE PRINCIPALE,?,TRACADIE SHEILA,NB,New Brunswick,E1X1G6,47.516882,-64.911754
RN04,BOTANIX,564,Temiscouata Inc,"236, ROUTE TRANSCANADIENNE",?,NOTRE-DAME-DU-LAC,QC,Quebec,G0L1X0,47.62641,-68.82593
LCBO,LCBO,577,Moonbeam,33A GOVERNMENT ROAD,?,MOONBEAM,ON,Ontario,P0L1V0,49.342885,-82.157261
HIEX,HOLIDAY INN EXPRESS,ETEX,EDSON,4520 2ND AVENUE,?,EDSON,AB,Alberta,T7E1C3,53.58438,-116.42016
SBYA,SOBEYS INC,660,Elmsdale,HIGHWAY 102 & 214,ELMSDALE SHOPPING CTR,ELMSDALE,NS,Nova Scotia,B0N1M0,44.97596,-63.50739
SHEL,SHELL CANADA,1DD1,485 Boulevard St,485 BOULEVARD ST PIERRE OUEST,?,CARAQUET,NB,New Brunswick,E1W1A3,47.774258,-64.996684
RN02,RONA LE RENOVATEUR,737,"Boul.Marcotte,Rober","255, BOUL. MARCOTTE",?,ROBERVAL,QC,Quebec,G8H1Z3,48.50059,-72.22242
SHEL,SHELL CANADA,A60B,219 BLVD ST-BENOIT,?,?,?,QC,Quebec,?,48.453565,-67.413056
CRST,CARSTAR AUTOMOTIVE CANADA,164,CARSTAR PERTH,16695 HWY 7,?,PERTH,ON,Ontario,K7H3C8,44.929507,-76.244909
PHAR,PHARMASAVE,527,CLARE PHARMASAVE,8693 MAIN ST,?,METEGHAN,NS,Nova Scotia,B0W2K0,44.20285,-66.14212
IRIS,IRIS,319,Iris,LE VILLAGE 2 CH. DE L'EQUERRE,?,BAIE ST-PAUL,QC,Quebec,G3Z2Y5,47.44904,-70.5208
DEMF,DAOUST & MICHEL FORGET,F154,367 Papineau  Papine,367 PAPINEAU,?,PAPINEAUVILLE,QC,Quebec,J0V1R0,45.6172,-75.01698
MMER,MONERIS MERCHANT ISSUANCE,1296,APOLLO RISTORANTE,1012 CRANBROOK ST N,?,CRANBROOK,BC,British Columbia,V1C3S3,49.521734,-115.75646
16,GOODYEAR CANADA - CENTRAL,2242,GY AUTO SERVICE #127,4 MOIRA STREET WEST,?,BELLEVILLE,ON,Ontario,K9P1R9,44.1696,-77.38708
MMER,MONERIS MERCHANT ISSUANCE,0TTS,RESTAURANT MISS JEAN,901 JEAN-TALON RUE O,?,MONTREAL,QC,Quebec,H3N1S7,45.525529,-73.62512
17,GOODYEAR CANADA - EAST,1083,LES PNEUS P.R.,1068 RUE SAINT-CALIXTE,?,PLESSISVILLE,QC,Quebec,G6L1N8,46.213177,-71.781315
RN07,ACE,7002,ACE - DRUMMOND,1423 CH TOBIQUE,?,DRUMMOND,NB,New Brunswick,E3Y2P6,47.035599,-67.682748
6048,BMO BONUS MILES,?,?,?,?,?,?,Unknown,?,999,999
LOWE,LOWES CANADA,3059,CALGARY - SUNRIDGE,2909 SUNRIDGE WAY NE,?,CALGARY,AB,Alberta,T1Y7K7,51.069498,-113.997056
SPLS,STAPLES,153,CAVENDISH,5800 BOULEVARD CAVENDISH,?,COTE-SAINT-LUC,QC,Quebec,H4W2T5,45.47679,-73.6637
KD46,AABEN WINDOWS AND DOORS,?,?,?,?,?,?,Unknown,?,999,999
IGAQ,IGA SUPERMARKETS,8288,IGA EXTRA LORETTEVIL,561 RUE RACINE,?,QUEBEC,QC,Quebec,G2B1G3,46.845287,-71.36696
TIMQ,TIMBER MART QUEBEC,8211,QUINC NEUVILLE,"206, DE L'EGLISE",?,NEUVILLE,QC,Quebec,G0A2R0,46.697199,-71.584013
HOME,HOMECARE BUILDING CENTRES,175,Arruda Homecare Ctr,17 BARTON STREET EAST,?,HAMILTON,ON,Ontario,L8L2V6,43.26402,-79.86525
TIMW,TIM-BR MART WEST,1830,SOUTHSIDE BUILDERS,33692 HWY 97 SOUTH,?,OLIVER,BC,British Columbia,V0H1T0,49.16672,-119.56152
TIMW,TIM-BR MART WEST,1540,NAL-MELVILLE - TBM,182 3RD WEST,?,MELVILLE,SK,Saskatchewan,S0A2P0,50.929253,-102.808043
TIMA,TIM-BR MART EAST,8081,PRITCHETT'S-GAMBO,359 J.R. SMALLWOOD BLVD.,?,GAMBO,NL,Newfoundland & Labrador,A0G1T0,48.78813,-54.21028
KD38,TRAIL FURNITURE OUTLET,?,?,?,?,?,?,Unknown,?,999,999
BUDG,BUDGET RENT A CAR,0WPZ,T VICPARK OW,1474 VICTORIA PARK AVE,?,NORTH YORK,ON,Ontario,M4A2M1,43.722881,-79.302028
HFGI,HILTON GARDEN INN,FDYE,FINDLAY,?,?,?,YT,Yukon,?,999,999
SBYW,SOBEYS WEST,5093,SOBEYS PRESTON,1739 PRESTON AVE N,?,SASKATOON,SK,Saskatchewan,S7N4V2,52.147888,-106.614997
33,CENTURY 21,3107,A.B.C. REALTY LTD.,146-250 BAKER DR,?,DARTMOUTH,NS,Nova Scotia,B2W6L4,44.65695,-63.5289
MMER,MONERIS MERCHANT ISSUANCE,110X,AVA SPECIALTY FASTEN,315 STEELCASE RD E,UNIT 10,MARKHAM,ON,Ontario,L3R2R5,43.8214702,-79.3411681
MMER,MONERIS MERCHANT ISSUANCE,1071,BBS BOOKKEEPING,1090 COLLEGE ST,?,TORONTO,ON,Ontario,M6H1B3,43.652701,-79.432022
MMER,MONERIS MERCHANT ISSUANCE,101Y,KEEBO SPORTS SUPPLEM,1504 ST MARY'S RD UNIT 5,?,WINNIPEG,MB,Manitoba,R2M3V7,49.825996,-97.114617
MMER,MONERIS MERCHANT ISSUANCE,0ZTQ,SEAN'S TOWING,49695 CAMPBELL ROAD,?,CHILLIWACK,BC,British Columbia,V2P6H4,49.166399,-121.849369
MMER,MONERIS MERCHANT ISSUANCE,0ZKL,SALON LUMINENCE,1694 CEDAR ROAD,?,NANAIMO,BC,British Columbia,V9X1W1,49.111846,-123.86875
MMER,MONERIS MERCHANT ISSUANCE,0ZJ6,THE SWEET NORTH BAKE,10 COURT ST S,?,THUNDER BAY,ON,Ontario,P7B2W3,48.435365,-89.222429
KD27,MOUNTAIN VIEW DODGE,4,MOUNTAINVIEW DODGE,?,?,?,AB,Alberta,?,999,999
IOBG,IRVING,C859,FLORENCEVILLE,305 RT 110,?,FLORENCEVILLE,NB,New Brunswick,E7L3P8,46.441389,-67.649405
SWPH,SOBEYS WEST PHARMACIES,5088,SOBEYS UNICITY,3635 PORTAGE AVE,?,WINNIPEG,MB,Manitoba,R3K2G6,49.882372,-97.311558
CV01,CLUB VOYAGES,111,CLUB VOYAGES INTER,1398 CHEMIN STE-FOY,?,QUEBEC,QC,Quebec,G1S2N6,46.79412,-71.25588
FLDO,FOODLAND ONTARIO,6766,SMITHVILLE,?,?,?,ON,Ontario,?,43.099087,-79.546507
CV01,CLUB VOYAGES,520,CV MALAVOY,3425 RUE BEAUBIEN E,?,MONTREAL,QC,Quebec,H1X1G8,45.55652,-73.585063
KD27,MOUNTAIN VIEW DODGE,?,?,?,?,?,?,Unknown,?,999,999
KD15,ECOLE DE CONDUITE OMEGA,1,OMEGA PARC,?,?,?,QC,Quebec,?,999,999
PALS,PREFERRED AB LIQUOR STORE,1037,CROWFOOT - BOWNESS,400-8435 BOWFORT RD NW,?,CALGARY,AB,Alberta,T3B2V2,51.0849,-114.20997
KD16,SAINT COSMETICS,?,?,?,?,?,?,Unknown,?,999,999
KD09,GREEN DIAMOND EQUIPMENT,12,GREEN DIAMOND EQUIP,?,?,?,NS,Nova Scotia,?,999,999
JSLB,JUST LUBES,3498,120 ANNE ST S,120 ANNE ST S,?,BARRIE,ON,Ontario,L4N6A2,44.374691,-79.698431
KD08,ROYAL ENVIRONMENTAL INC,2,FERO,?,?,?,NB,New Brunswick,?,999,999
33,CENTURY 21,3401,ISLAND REALTY INC.,17A HARDY AVE,?,GRAND FALLS-WINDSOR,NL,Newfoundland & Labrador,A2A2P8,48.952064,-55.646129
SBYO,SOBEYS ONTARIO,4726,LAIRD & WICKSTEED SO,147 LAIRD DR,?,EAST YORK,ON,Ontario,M4G4K1,43.709307,-79.359453
PP73,PIZZA 73,13,2803-17 AVENUE SW,2803 17 AVE SW,?,CALGARY,AB,Alberta,T3E0A8,51.03771,-114.12704
PP73,PIZZA 73,66,#103-6815 KATERI DR,103-6815 KATERI DR,?,GRANDE PRAIRIE,AB,Alberta,T8W0H1,55.14238,-118.80228
PP73,PIZZA 73,1058,"1152-137 AVE, SE",PHONE AND ONLINE ORDERS,?,CALGARY,AB,Alberta,T2J6T6,50.92793,-114.02812
SWPH,SOBEYS WEST PHARMACIES,5095,SOBEYS SOUTHBROOK,1109 JAMES MOWATT TRAIL SW,?,EDMONTON,AB,Alberta,T6W1S4,53.4226271,-113.5147326
HFHH,HILTON,MUCT,MUNICH AIRPORT,?,?,?,NU,Nunavut,?,999,999
HFHH,HILTON,NKGN,NANJING RIVERSIDE,?,?,?,NU,Nunavut,?,999,999
SHEL,SHELL CANADA,DD6G,C80152,215 BOUL RIDEAU,?,ROUYN-NORANDA,QC,Quebec,J9X5Y6,48.243911,-79.041227
FOOD,FOODLAND,9355,FOODLAND BLOOMFIELD,2238 O'HALLARAN RD,?,BLOOMFIELD,PE,Prince Edward Island,C0B1E0,46.762392,-64.183365
JR85,CANADIAN LINEN UNIFORM,13,CANADIAN LINEN,?,?,?,BC,British Columbia,?,999,999
TIMW,TIM-BR MART WEST,5117,BURNCO-OKOTOKS,NEAR HWY 2A & HWY 7,?,OKOTOKS,AB,Alberta,T0L1T0,50.708566,-113.943011
GLOB,GLOBAL PET FOODS,616,MONTREAL,4528 BOUL SAINT-LAURENT,?,MONTREAL,QC,Quebec,H2T1R3,45.520466,-73.587168
SBYO,SOBEYS ONTARIO,865,MAYFIELD,"11965 HURONTARIO ST., BRAMPTON",?,MAYFIELD,ON,Ontario,L6Z4P7,43.7338779,-79.8240086
FLDO,FOODLAND ONTARIO,7256,WILBERFORCE,"2763 ESSONVILLE LINE, WILBERFORCE",?,WILBERFORCE,ON,Ontario,K0L3C0,45.03586,-78.225898
FLDO,FOODLAND ONTARIO,7099,PORT ROWAN,"1031 BAY STREET, BOX 399, PORT ROWAN",?,PORT ROWAN,ON,Ontario,N0E1M0,42.624281,-80.450737
FLDO,FOODLAND ONTARIO,6421,RIDGETOWN,"32 MAIN STREET EAST, P.O. BOX 897, RIDGETOWN",?,RIDGETOWN,ON,Ontario,N0P2C0,42.439872,-81.886191
FLDO,FOODLAND ONTARIO,6340,WATERFORD,PO BOX 24,?,WATERFORD,ON,Ontario,N0E1Y0,42.922091,-80.287626
SBYO,SOBEYS ONTARIO,4717,PARRY SOUND,25 PINE DR,?,PARRY SOUND,ON,Ontario,P2A3B7,45.344168,-80.009996
PHAR,PHARMASAVE,564,SOUTHSIDE PHARMASAVE,640 PROSPECT STREET WEST,?,FREDERICTON,NB,New Brunswick,E3B6G9,45.94924,-66.68581
LUBX,LUBEXX,1059,2929 SUNRIDGE WAY,2929 SUNRIDGE WAY,?,CALGARY,AB,Alberta,T1Y7K7,51.069273,-113.994595
RN07,ACE,8002,ACE - THORNDALE,181 KING ST,?,THORNDALE,ON,Ontario,N0M2P0,43.103094,-81.148003
LUBX,LUBEXX,1067,60 TRUNK ROAD,60 TRUNK ROAD,?,DUNCAN,BC,British Columbia,V9L5B7,48.7766616,-123.6969513
WRPL,WHIRLPOOL CANADA,210,THORSNESS HARDWARE,206 COMMERCIAL ST,?,SALTCOATS,SK,Saskatchewan,S0A3R0,51.03664,-102.16363
THPH,THRIFTY FOODS PHARMACY,9450,FAIRFIELD,?,?,?,BC,British Columbia,?,999,999
IOXG,IRVING,2683,SEAL ISLAND SVC CTR,"825, HWY 105",?,BOULARDERIE EAST,NS,Nova Scotia,B1X1S6,46.235621,-60.475715
IOMG,IRVING,C410,CUMMINGS CONVENIENCE,91 HARRIET ST,?,ST ANDREWS,NB,New Brunswick,E5B1S2,45.078861,-67.059189
IOMC,IRVING C-STORE,3381,ST ANTHONY IRVING,48 WEST STREET,?,ST ANTHONY,NL,Newfoundland & Labrador,A0K4S0,51.370014,-55.598185
IOCG,IRVING COUCHE-TARD,2050,BRIDGEWATER NS CK,463 NORTH ST,?,BRIDGEWATER,NS,Nova Scotia,B4V2W6,44.39154,-64.52728
IOCG,IRVING COUCHE-TARD,2016,SALISBURY CIRCLE K,"2986 FREDERICTON RD, HWY 2, EXIT 433",?,SALISBURY,NB,New Brunswick,E4J2G1,46.05086,-65.060711
IOCC,IRVING COUCHE-TARD CSTORE,2077,NORTH SYDNEY CK,183 COMMERCIAL ST,?,NORTH SYDNEY,NS,Nova Scotia,B2A1B5,46.2066,-60.252171
IOCG,IRVING COUCHE-TARD,2018,LAKEBURN CIRCLE K,1528 CHAMPLAIN ST,?,DIEPPE,NB,New Brunswick,E1A1R5,46.103041,-64.682608
IOCC,IRVING COUCHE-TARD CSTORE,2003,BOUCTOUCHE CIRCLE K,131 IRVING BLVD,?,BOUCTOUCHE,NB,New Brunswick,E4S3K2,46.468104,-64.727526
IOCC,IRVING COUCHE-TARD CSTORE,2108,TORBAY RD CIRCLE K,184 TORBAY RD,?,ST. JOHN'S,NL,Newfoundland & Labrador,A1A2H3,47.595127,-52.709629
IOBC,IRVING BULLOCH,1763,PENNFIELD IRVING,5030 ROUTE 1,?,PENNFIELD,NB,New Brunswick,E5H1Y5,45.113254,-66.731603
IOMC,IRVING C-STORE,4815,FORTUNE AUTO SERVICE,59 BAYVIEW STREET,?,FORTUNE,NL,Newfoundland & Labrador,A0E1P0,47.074747,-55.823638
IOCG,IRVING COUCHE-TARD,2128,WHITBOURNE CIRCLE K,679 WHITBOURNE RD,?,WHITBOURNE,NL,Newfoundland & Labrador,A0B3K0,47.449937,-53.560304
JR78,CHEM INTERNATIONAL,1,CHEM INTERNATIONAL,?,?,?,AB,Alberta,?,999,999
SHOP,YOURSHOPS.CA,1327,SOREL,?,?,?,ON,Ontario,?,999,999
KNBC,KENT BONUS CARD,2,With Compliments,?,?,?,NB,New Brunswick,?,999,999
RN15,RO-NA HARDWARE,5525,RONA GEORGETOWN,348 GUELPH ST,?,GEORGETOWN,ON,Ontario,L7G4B5,43.649041,-79.882312
SWPH,SOBEYS WEST PHARMACIES,5178,SOBEYS PRESTON CROSS,1739 PRESTON AVE N,?,SASKATOON,SK,Saskatchewan,S7N4V2,52.147888,-106.614997
RXAL,REXALL DRUG STORES,8135,MERIVALE&MEADOWLANDS,?,?,?,ON,Ontario,?,45.34976,-75.73265
SBWL,SOBEYS LIQUOR,5070,SOBEYS HOLLICK KENYO,5119 167 AVE NW,?,EDMONTON,AB,Alberta,T5Y0L2,53.6274226,-113.414481
RXAL,REXALL DRUG STORES,7222,20TH AVE BLAIRMORE,"12749 20TH AVENUE, BOX 358",?,BLAIRMORE,AB,Alberta,T0K0E0,49.608068,-114.440292
RXAL,REXALL DRUG STORES,7114,ESPLANADE,9892 ESPLANADE,?,CHEMAINUS,BC,British Columbia,V0R1K1,48.926203,-123.716258
RXAL,REXALL DRUG STORES,7223,50TH ST PONOKA,4502 - 50TH STREET,?,PONOKA,AB,Alberta,T4J1J5,52.672014,-113.579731
RXAL,REXALL DRUG STORES,7103,ADMIRALS ROAD,1511 ADMIRALS ROAD,?,VICTORIA,BC,British Columbia,V9A2P8,48.44923,-123.426272
HFHP,HAMPTON,PIBV,PITTSBURG BRDGVL,?,?,?,YT,Yukon,?,999,999
JR60,ACTION CAR & TRUCK ACCESS,20,ACTION TRUCK,?,?,?,ON,Ontario,?,999,999
19,FOUNTAIN TIRE,123,FOUNTAIN TIRE F123,2309-48TH AVENUE,?,VERNON,BC,British Columbia,V1T3P9,50.281977,-119.262999
JR40,STORAGE MART,64,STORAGEMART,?,?,?,AB,Alberta,?,999,999
BUDG,BUDGET RENT A CAR,0XNN,BURLINGTON ON,8-1400 PLAINS RD E,?,BURLINGTON,ON,Ontario,L7R3P8,43.337157,-79.818111
MCHL,MICHAELS,4916,"CAL-AIRDRIE, AB",2771 MAIN ST SW,STE 110,AIRDRIE,AB,Alberta,T4B3G2,51.266762,-114.007298
SHEL,SHELL CANADA,3FED,FJ-REGINA,1511 E ROSS AVE,?,REGINA,SK,Saskatchewan,S4N7E5,50.465044,-104.563004
SHEL,SHELL CANADA,3F38,FJ-MERRITT,2190 DOUGLAS ST N,?,MERRITT,BC,British Columbia,V1K1B8,50.109488,-120.77185
SHOP,YOURSHOPS.CA,1317,BIG FISH GAMES,?,?,?,ON,Ontario,?,999,999
JR57,WILFRID LAURIER UNIV,1,WLU BOOK STORE,?,?,?,ON,Ontario,?,999,999
SBYW,SOBEYS WEST,5126,RED LAKE,HIGHWAY 105,?,RED LAKE,ON,Ontario,P0V2M0,51.016765,-93.821172
SBYW,SOBEYS WEST,5105,BRANDON SOUTH,1645B - 18 STREET,?,BRANDON,MB,Manitoba,R7A5C6,49.824747,-99.957942
SBYW,SOBEYS WEST,5158,ALBERT STREET,4250 ALBERT STREET,?,REGINA,SK,Saskatchewan,S4S3R6,50.411066,-104.619648
SBYW,SOBEYS WEST,3132,BEAUMARIS,15367 CASTLEDOWNS ROAD,?,EDMONTON,AB,Alberta,T5X6C3,53.615471,-113.51465
JR40,STORAGE MART,15,STORAGEMART,?,?,?,QC,Quebec,?,999,999
SWPH,SOBEYS WEST PHARMACIES,1110,TUSCANY BOULEVARD,2020-11300 TUSCANY BOULEVARD NE,?,CALGARY,AB,Alberta,T3L2V7,51.124792,-114.248646
SWPH,SOBEYS WEST PHARMACIES,3154,PRESTON,1739 PRESTON AVENUE NORTH,?,SASKATOON,SK,Saskatchewan,S7N4V2,52.1496503,-106.6152912
IGAQ,IGA SUPERMARKETS,6025,IGA MINI,1640 RUE TRUDEL,?,SHAWINIGAN,QC,Quebec,G9N0A2,46.5568107,-72.7504945
JR47,1882540 ONTARIO LTD,1,WHAT A BLOOM,?,?,?,ON,Ontario,?,999,999
16,GOODYEAR CANADA - CENTRAL,2224,ROYAL TIRE & SERVICE,770 BARRYDOWNE RD,?,SUDBURY,ON,Ontario,P3A3T7,46.5132,-80.94421
SHOP,YOURSHOPS.CA,1301,MACKAGE / SOIA & KYO,?,?,?,ON,Ontario,?,999,999
SHOP,YOURSHOPS.CA,1304,HATLEY,?,?,?,ON,Ontario,?,999,999
KNTC,KBS KENT CARD,25,HALIFAX BOX,225 CHAIN LAKE DRIVE,?,HALIFAX,NS,Nova Scotia,B3S1C9,999,999
5000,SAFEWAY CONVERSION,4958,PARKGATE VILLAGE,1175 MT. SEYMOUR ROAD,?,NORTH VANCOUVER,BC,British Columbia,V7H2Y4,49.31601,-122.96913
5000,SAFEWAY CONVERSION,4825,HENDERSON & BRONX,731 HENDERSON,?,WINNIPEG,MB,Manitoba,R2K2K4,49.92725,-97.10407
5000,SAFEWAY CONVERSION,4807,COURT STREET,70 NORTH COURT STREET,?,THUNDER BAY,ON,Ontario,P7B2Z3,48.43786,-89.22017
5000,SAFEWAY CONVERSION,4891,CATHEDRAL SAFEWAY,2931 13TH AVE,?,REGINA,SK,Saskatchewan,S4T1N8,50.44541,-104.62355
BW61,CANADA HEARING CENTRE LTD,158,LISTENUP! CANADA,?,?,?,ON,Ontario,?,999,999
BW92,PARKRIDGE LIFESTYLE COMM,13,BRIDGE PORT MARINA,?,?,?,ON,Ontario,?,999,999
KENT,KENT BUILDING SUPPLIES,45,GRAND FALLS,88 POWERS ROAD,?,GRAND FALLS,NB,New Brunswick,E3Y3X4,47.058575,-67.750638
HFGI,HILTON GARDEN INN,COVG,COVINGTON,?,?,?,YT,Yukon,?,999,999
HFHP,HAMPTON,CHAK,KIMBALL,?,?,?,YT,Yukon,?,999,999
HFDT,DOUBLE TREE,PXMP,PHOENIX TEMPE,?,?,?,YT,Yukon,?,999,999
HFES,EMBASSY SUITES,SLCY,SLC WEST VALLEY,?,?,?,YT,Yukon,?,999,999
HFHT,HOME2SUITES,FARH,FARGO,?,?,?,YT,Yukon,?,999,999
JR28,LES ENTREPRISES PREMIERE,10,PREMIERE GENERALE,?,?,?,QC,Quebec,?,999,999
RN15,RO-NA HARDWARE,3352,RONA CASHWAY SF,R.R. #1 LOMBARDY RD,?,SMITH FALLS,ON,Ontario,K7A5B8,44.890197,-76.032044
WRPL,WHIRLPOOL CANADA,447,KONDOLAS FURNITURE T,4525 LAKELSE AVENUE,?,TERRACE,BC,British Columbia,V8G1P3,54.516199,-128.583752
WRPL,WHIRLPOOL CANADA,283,YES APPLIANCE,3290 MIDLAND AVENUE UNIT 10,?,TORONTO,ON,Ontario,M1V4W9,43.8068,-79.28879
WRPL,WHIRLPOOL CANADA,169,FRIENDLY APPLIANCE C,640 HENDERSON DRIVE,?,REGINA,SK,Saskatchewan,S4N5X3,50.47403,-104.57412
WRPL,WHIRLPOOL CANADA,252,THE PLACE COUNTRYWID,"UNIT #3, 1950 PENINSULA RD",?,UCLUELET,BC,British Columbia,V0R3A0,48.93981,-125.54445
WRPL,WHIRLPOOL CANADA,128,DOMON LIMITEE,1950 RUE REMEMBRANCE,?,LACHINE,QC,Quebec,H8S1W9,45.437987,-73.682032
SHL3,SHELL CANADA,DD42,375 ROUTE 8,375 ROUTE 8,?,NASHWAAK VILLAGE,NB,New Brunswick,E6C1M5,999,999
WRPL,WHIRLPOOL CANADA,180,FURNITURE VILLAGE,826 9TH ST W,?,MEADOW LAKE,SK,Saskatchewan,S9X1Y7,54.13151,-108.43176
WRPL,WHIRLPOOL CANADA,108,ACCENT MEUBLES LAC M,3954 RUE LAVAL,?,LAC MEGANTIC,QC,Quebec,G6B2W9,45.58596,-70.89909
BUDG,BUDGET RENT A CAR,0XAL,MESA SEARS AUTO AZ,6343 EAST SOUTHERN AVE,?,MESA AZ,YT,Yukon,A1A1A1,999,999
HIEX,HOLIDAY INN EXPRESS,RVGO,GOLDEN-TRANSCAN HWY1,?,?,?,BC,British Columbia,?,999,999
GEWL,GERRIE ELECTRIC WHOLESAL,20,CAMBRIDGE BRANCH,1195 FRANKLIN BLVD,?,CAMBRIDGE,ON,Ontario,N1R7R7,43.40512,-80.30643
IGAQ,IGA SUPERMARKETS,8753,TRADITION,2 1RE AV,?,FORESTVILLE,QC,Quebec,G0T1E0,48.739111,-69.087399
JR09,WATER DEPOT 1720618 ONT.,21,WATER DEPOT P. SOUND,51 MILLER ST,?,PARRY SOUND,ON,Ontario,P2A1S9,45.347531,-80.032387
LMWB,MM AUTO-ISSUANCE VIA WEB,1089,BARENECESSITIES.COM,?,?,?,ON,Ontario,?,999,999
LMWB,MM AUTO-ISSUANCE VIA WEB,1151,B&T FACTORY DIRECT,?,?,?,ON,Ontario,?,999,999
LMWB,MM AUTO-ISSUANCE VIA WEB,1003,AMERICAN EXPRESS,?,?,?,ON,Ontario,?,999,999
33,CENTURY 21,567,ICARUS REALTY LTD.,5-6404 METRAL DR,?,NANAIMO,BC,British Columbia,V9T2L8,49.231709,-124.042836
HFDT,DOUBLE TREE,BRSR,DOUBLETREE BY HILTON,?,?,?,YT,Yukon,?,999,999
SHL5,SHELL CANADA,DD32,123 FOORD STREET,123 FOORD ST,?,STELLARTON,NS,Nova Scotia,B0K1S0,999,999
IOCC,IRVING COUCHE-TARD CSTORE,6128,DIEPPE BLVD CIRCLE K,330 BOUL DIEPPE,?,DIEPPE,NB,New Brunswick,E1A6P8,46.10436,-64.70761
RMBC,RETAIL MEDIA GROUP,PBQB,Philip Barry,?,?,?,QC,Quebec,?,999,999
JR02,SIGN A RAMA,13,SIGNARAMA BRAMPTON W,15-289 RUTHERFORD RD S,?,BRAMPTON,ON,Ontario,L6W3R9,43.68203,-79.71943
5,SAFEWAY,301,CATHEDRAL SAFEWAY,2931 13TH AVE,?,REGINA,SK,Saskatchewan,S4T1N8,50.44541,-104.62355
BW95,SECURTEK MONITORING SOLUT,3,APPLIED COMM,?,?,?,AB,Alberta,?,999,999
