sponsorcode,sponsorname,locationcode,locationname,address1,address2,city,provinceshort,province,postalcode,lat,long
LCBO,LCBO,362,Albion Mall,1530 ALBION ROAD,ALBION MALL,TORONTO,ON,Ontario,M9V1B5,43.740347,-79.583901
BUDG,BUDGET RENT A CAR,385,CALGARY AB DTN,5404 DALTON DRIVE NW,CANADIAN TIRE SHOPPING CENTER,CALGARY,AB,Alberta,T3A2C3,51.1015,-114.14912
SHEL,SHELL CANADA,037A,1198 Government St,1198 GOVERNMENT STREET,?,PENTICTON,BC,British Columbia,V2A4V1,49.488193,-119.578868
PEPL,PEOPLES JEWELLERS,5179,KILDONAN PLACE,1555 REGENT AVENUE W T54,?,WINNIPEG,MB,Manitoba,R2C4J2,49.89764,-97.06409
2,BMO BANK OF MONTREAL,859,BMO BANK OF MONTREAL,180 KINGSTON RD E,?,AJAX,ON,Ontario,L1Z0C7,43.864534,-79.010692
NSLL,NOVA SCOTIA LIQUOR,2290,EASTERN PASSAGE,"69 COW BAY ROAD, UNIT 1",?,EASTERN PASSAGE,NS,Nova Scotia,B3G1A2,44.61231,-63.49024
5,SAFEWAY,42,BURNABY HEIGHTS,4440 HASTINGS STREET,?,BURNABY,BC,British Columbia,V5C2K2,49.28091,-123.0058
2,BMO BANK OF MONTREAL,161,BMO BANK OF MONTREAL,159 PITT ST,?,CORNWALL,ON,Ontario,K6J3P5,45.017728,-74.728301
TRUP,TOYS R US BC,3584,WESTSHORE TC,2945 JACKLIN RD,UNIT 168,VICTORIA,BC,British Columbia,V9B5E3,48.4401,-123.50839
TURB,TURBO,7A62,380 University Park,380 UNIV PK DR,?,REGINA,SK,Saskatchewan,S4V0Y8,50.434812,-104.554844
HINN,HOLIDAY INN,PQCA,PETERBOROUGH,"150 GEORGE ST., N.",?,PETERBOROUGH,ON,Ontario,K9J3G5,44.29952,-78.31943
CRST,CARSTAR AUTOMOTIVE CANADA,4024,CARSTAR JONQUIERE,"2415, RUE CANTIN",?,JONQUIERE,QC,Quebec,G7X8S6,48.404287,-71.233507
33,CENTURY 21,741,FOOTHILLS,199-31 SOUTHRIDGE DRIVE,?,OKOTOKS,AB,Alberta,T1S1B5,50.71524,-113.9786
NSLL,NOVA SCOTIA LIQUOR,2574,NEW MINAS,9256 COMMERCIAL STREET,UNIT 230-235,NEW MINAS,NS,Nova Scotia,B4N4A9,45.06788,-64.444
SHEL,SHELL CANADA,3CEG,1001 95 Ieme Av,?,?,?,QC,Quebec,?,46.642016,-72.656769
SHEL,SHELL CANADA,3D7B,825 Jardins Sherbrk,825 JARDINS FLEURIS,?,SHERBROOKE,QC,Quebec,J1E1J4,45.419347,-71.873474
IRIS,IRIS,653,IRIS,2438 160TH STREET,?,SURREY,BC,British Columbia,V3S0C8,49.04684,-122.77848
2,BMO BANK OF MONTREAL,744,BMO BANK OF MONTREAL,438 UNIVERSITY AVE,?,TORONTO,ON,Ontario,M5G2K8,43.654391,-79.388465
BOST,BOSTON PIZZA INTERN'AL,515,DIXIE&AIMCO,1510 AIMCO BOULEVARD,?,MISSISSAUGA,ON,Ontario,L4W5K1,43.639893,-79.622903
LCBO,LCBO,248,Richmond Hill,10375 YONGE STREET NORTH,?,RICHMOND HILL,ON,Ontario,L4C3C2,43.880382,-79.43924
TRUN,TOYS R US,3533,COQUITLAM,1110 LOUGHEED HIGHWAY,?,COQUITLAM,BC,British Columbia,V3K6S4,49.23385,-122.86061
19,FOUNTAIN TIRE,48,FOUNTAIN TIRE F048,8104 EDGAR IND DRIVE,?,RED DEER,AB,Alberta,T4P3R2,52.31542,-113.84428
HBCR,HBC REWARDS,1135,BAY,LONDONDERRY MALL,N.W. 137TH AVE. & 66TH ST.,EDMONTON,AB,Alberta,T5C3C8,53.59975,-113.45451
TRUN,TOYS R US,3515,ANJOU,"7200, BOUL.LOUIS-H-LAFONTAINE",?,ANJOU,QC,Quebec,H1M3N4,45.60073,-73.55852
RXAL,REXALL DRUG STORES,6950,VAL CARON,3080 HIGHWAY 69 NORTH,?,VAL CARON,ON,Ontario,P3N1N7,46.61233,-81.00692
HBCR,HBC REWARDS,5139,HOME OUTFITTERS,WINNIPEG POLO PARK,710 ST. JAMES STREET,WINNIPEG,MB,Manitoba,R3G3J7,49.88819,-97.20121
SHEL,SHELL CANADA,3.00E+79,8 Blvd St-Jean Baptiste,8 BOULEVARD ST-JEAN BAPTISTE,?,CHATEAUGUAY,QC,Quebec,J6K3A2,45.368197,-73.710016
MALO,VITROPLUS/ZIEBART,19,VP Ste Foy,2866 CHEMIN ST-LOUIS,?,SAINTE-FOY,QC,Quebec,G1W1P4,46.762686,-71.282998
MAPP,MAPPINS,5482,THE PROMENADE,1 PROMENADE CIRCLE,?,THORNHILL,ON,Ontario,L4J4P8,43.809255,-79.451712
CARP,UNITED FLOORS,3543,CENTRE TAPISROBILLAR,"999, CAMERON ST.",?,HAWKESBURY,ON,Ontario,K6A2B8,45.59913,-74.59724
RN15,RO-NA HARDWARE,6139,"Yale Road W,Chilliwa",45656 YALE ROAD WEST,?,CHILLIWACK,BC,British Columbia,V2P2N3,49.15589,-121.96035
CATT,CAT THE RENTAL STORE,411,FORT ST.JOHN,10714 ALASKA RD,?,FORT ST. JOHN,BC,British Columbia,V1J1B3,56.242043,-120.860599
BOST,BOSTON PIZZA INTERN'AL,469,FRONT & JOHN,250 FRONT ST W,?,TORONTO,ON,Ontario,M5V3G5,43.64402,-79.38864
LCBO,LCBO,569,OTTAWA STITTSVILLE,6065 HAZELDEAN ROAD,?,OTTAWA,ON,Ontario,L6S0C5,45.273367,-75.927757
2,BMO BANK OF MONTREAL,85,BMO BANK OF MONTREAL,101 AV. WESTMINSTER N.,?,MONTREAL-OUEST,QC,Quebec,H4X1Z3,45.453733,-73.647318
PJCQ,JEAN COUTU,140,6461 CHRISTOPH-COLOM,"6461, AVENUE CHRISTOPHE-COLOMB",?,MONTRIAL,QC,Quebec,H2S2G5,45.537681,-73.601229
HFGI,HILTON GARDEN INN,YYZB,TORONTO,985 SYSCON ROAD EAST,?,BURLINGTON,ON,Ontario,L7L6C5,43.39253,-79.75707
5,SAFEWAY,36,ROBSON,1766 ROBSON STREET,?,VANCOUVER,BC,British Columbia,V6G1E2,49.29107,-123.13505
PPDM,PHARMA PLUS DRUGMARTS,1404,LLOYD D JACKSON SQ,"2 KING STREET WEST, UNIT 18",?,HAMILTON,ON,Ontario,L8P1A1,43.25677,-79.86915
UNIS,AUTO PLUS AUTO PART PLUS,58,Atlas Auto Parts,531 SECOND LINE E.,?,SAULT STE MARIE,ON,Ontario,P6B4K2,46.5382,-84.32531
BUDG,BUDGET RENT A CAR,4253,LAPERRIERE,1551 LAPERRIERE AVE,?,OTTAWA,ON,Ontario,K1Z7T1,45.37702,-75.74464
SHEL,SHELL CANADA,3E6G,4794 HWY11 & Kakabek Falls,4794 HIGHWAY 1,?,KAKABEKA FALLS,ON,Ontario,P0T1W0,48.402111,-89.614967
LCBO,LCBO,101,Grimsby,25 ELM STREET,?,GRIMSBY,ON,Ontario,L3M1H4,43.192369,-79.562026
SHEL,SHELL CANADA,3.00E+07,1321 Yates St,1321 YATES STREET,?,VICTORIA,BC,British Columbia,V8S2A1,48.42431,-123.344712
GESC,GESCAN,COQ,Coquitlam,?,?,?,BC,British Columbia,?,49.22682,-122.82044
PEPL,PEOPLES JEWELLERS,5295,CHARLOTTETOWN MALL,670 UNIVERSITY AVENUE,?,CHARLOTTETOWN,PE,Prince Edward Island,C1E1E3,46.2648,-63.14714
SHEL,SHELL CANADA,00ED,1858 King Edward St,1858 KING EDWARD ST,?,WINNIPEG,MB,Manitoba,R2R0N1,49.925283,-97.207024
SBYA,SOBEYS INC,736,SOBEYS RIVERVIEW,1160 FINDLAY BLVD,?,RIVERVIEW,NB,New Brunswick,E1B0J6,46.0487,-64.79591
5,SAFEWAY,718,TUXEDO,2025 CORYDON,?,WINNIPEG,MB,Manitoba,R3P0N5,49.86658,-97.21159
2,BMO BANK OF MONTREAL,530,BMO BANK OF MONTREAL,290 QUEENSTON RD,?,HAMILTON,ON,Ontario,L8K1H1,43.234088,-79.791743
ALAM,ALAMO CANADA,C387,OTTAWA ARPT,1003 AIRPORT PARKWAY PRIVATE,?,OTTAWA,ON,Ontario,K1V2C1,45.32348,-75.66259
